test_id,adult_males,subadult_males,adult_females,juveniles,pups
297,2,3,8,4,3
298,2,4,21,16,4
299,1,3,5,7,2
300,10,8,84,11,54
301,3,7,16,13,5
302,4,5,40,26,13
303,8,3,60,6,46
304,6,4,51,13,40
305,2,3,18,18,3
306,6,11,107,32,38
307,2,1,2,7,0
308,1,2,7,8,1
309,2,2,9,5,2
310,0,4,18,38,0
311,1,4,8,12,2
312,3,4,24,12,12
313,8,7,68,5,56
314,1,1,9,4,5
315,4,6,50,69,25
316,4,4,22,22,6
317,4,3,34,11,13
318,3,3,22,28,6
319,2,3,10,2,7
320,2,4,9,11,2
321,1,1,10,6,4
322,19,8,134,48,80
323,0,3,6,5,3
324,1,3,18,8,0
325,1,4,4,4,0
326,0,1,2,5,0
327,1,3,3,5,1
328,0,1,1,4,0
329,2,2,6,8,4
330,5,2,61,34,12
331,2,5,15,1,12
332,2,4,9,3,5
333,3,3,20,7,15
334,2,4,21,16,9
335,1,3,5,7,0
336,0,2,2,3,0
337,6,11,113,220,17
338,2,4,25,23,5
339,1,2,3,7,0
340,2,5,18,32,3
341,2,10,63,76,4
342,1,2,7,12,0
343,0,7,3,5,1
344,6,8,103,134,16
345,2,4,28,32,6
346,2,1,7,5,0
347,3,1,19,13,7
348,0,3,2,0,0
349,1,3,6,1,1
350,3,3,27,6,21
351,5,5,24,10,16
352,2,3,7,5,3
353,0,2,8,18,0
354,8,6,78,29,32
355,4,5,27,3,21
356,3,2,50,33,1
357,3,4,41,13,26
358,0,0,0,1,0
359,3,2,17,7,9
360,12,5,110,10,91
361,11,7,76,32,45
362,3,4,27,11,7
363,0,2,2,2,0
364,3,4,22,24,7
365,1,4,7,6,2
366,1,5,10,5,3
367,6,3,16,22,0
368,2,3,11,2,7
369,1,3,2,7,0
370,3,2,20,2,15
371,2,3,14,9,6
372,1,1,1,3,0
373,5,5,28,6,19
374,2,3,3,6,1
375,2,2,11,18,1
376,5,8,125,83,32
377,1,1,10,5,3
378,2,3,11,12,3
379,2,1,14,13,0
380,2,6,19,9,6
381,2,3,13,11,3
382,3,4,63,40,14
383,1,1,8,3,1
384,0,1,5,1,1
385,3,4,15,11,6
386,4,6,60,71,14
387,2,3,15,7,8
388,1,2,23,20,0
389,6,5,52,6,37
390,1,3,31,13,6
391,5,3,29,3,23
392,4,4,47,8,21
393,1,2,3,1,2
394,11,3,54,17,30
395,3,3,23,7,6
396,3,3,28,25,7
397,2,5,23,13,8
398,0,8,33,97,0
399,0,7,2,15,0
400,1,1,0,6,0
401,2,5,10,16,2
402,8,4,59,17,30
403,1,3,14,17,1
404,0,7,4,22,0
405,2,2,19,5,13
406,3,3,31,3,24
407,2,4,12,2,8
408,3,3,11,8,2
409,3,4,28,7,10
410,1,5,23,50,0
411,1,4,10,18,2
412,2,1,9,5,2
413,6,6,81,39,17
414,5,3,28,5,23
415,4,5,39,20,17
416,3,4,17,12,8
417,8,5,48,14,30
418,1,3,13,7,3
419,2,1,10,9,3
420,2,3,11,9,4
421,1,2,4,3,4
422,1,4,5,18,0
423,0,0,1,3,0
424,1,3,8,19,0
425,0,3,10,22,1
426,1,4,32,7,3
427,3,4,34,4,22
428,3,3,26,34,5
429,0,3,4,3,3
430,5,5,62,11,27
431,1,4,45,29,6
432,2,5,5,21,0
433,2,6,50,32,10
434,5,4,32,12,13
435,4,4,30,9,19
436,1,1,2,5,0
437,5,10,89,75,29
438,2,3,11,4,7
439,2,1,8,6,1
440,1,4,3,14,0
441,1,2,9,4,6
442,12,9,82,9,59
443,4,3,27,21,7
444,0,1,5,5,0
445,1,3,14,3,9
446,2,2,17,19,2
447,0,2,1,15,0
448,3,3,28,32,5
449,2,4,8,12,0
450,3,3,21,2,15
451,1,1,2,8,0
452,2,4,13,1,9
453,1,1,1,4,0
454,3,2,36,12,17
455,2,4,13,17,2
456,5,4,32,11,20
457,2,3,4,3,3
458,1,3,16,19,2
459,0,1,2,7,0
460,1,1,3,5,1
461,1,2,3,5,1
462,8,6,80,7,58
463,4,4,27,6,20
464,16,8,92,10,73
465,1,4,10,9,0
466,2,5,18,3,11
467,2,3,12,8,6
468,10,5,63,15,43
469,1,3,14,10,3
470,1,4,9,15,2
471,3,5,26,24,4
472,1,3,12,9,0
473,9,4,67,12,44
474,4,4,28,22,7
475,1,5,5,9,1
476,0,0,0,4,0
477,3,3,11,6,5
478,0,2,2,10,0
479,2,2,14,15,0
480,3,2,25,5,21
481,2,4,7,12,2
482,2,2,8,15,0
483,0,1,2,4,0
484,4,7,50,59,14
485,5,8,80,74,17
486,2,3,6,12,0
487,10,12,190,113,34
488,1,1,4,0,4
489,3,3,15,10,6
490,1,2,3,1,1
491,4,5,35,22,16
492,3,2,31,14,5
493,1,2,7,9,3
494,3,4,36,5,17
495,2,3,10,5,3
496,3,6,58,40,13
497,2,2,13,5,10
498,2,2,8,8,4
499,0,2,2,2,1
500,3,3,16,4,9
501,3,2,22,2,16
502,5,7,22,12,14
503,5,3,28,6,23
504,1,1,9,3,7
505,0,3,3,7,0
506,6,5,43,7,36
507,7,6,37,24,11
508,3,3,10,8,3
509,0,2,6,13,0
510,4,3,26,11,13
511,0,2,3,3,0
512,1,2,7,22,0
513,5,6,28,5,16
514,4,2,19,3,16
515,1,3,10,17,1
516,4,4,36,2,27
517,2,3,13,3,6
518,0,3,8,5,2
519,0,1,1,0,0
520,3,6,44,41,13
521,2,2,21,16,4
522,2,3,9,11,5
523,2,4,14,5,9
524,1,2,3,3,1
525,4,3,24,6,15
526,4,7,25,16,6
527,1,2,5,3,1
528,4,3,28,6,22
529,1,3,9,13,0
530,3,3,33,24,8
531,4,3,26,15,0
532,1,3,7,3,4
533,5,4,58,28,21
534,8,4,70,30,36
535,1,1,10,3,4
536,2,5,14,12,0
537,1,6,18,32,0
538,1,2,4,6,1
539,4,5,34,20,12
540,1,1,12,9,0
541,2,3,10,6,2
542,11,9,125,92,49
543,5,5,30,18,12
544,2,6,13,5,6
545,2,3,23,4,12
546,4,2,27,24,10
547,1,3,9,8,3
548,1,3,7,7,2
549,0,1,0,5,0
550,1,2,6,11,0
551,3,6,42,29,12
552,2,2,14,7,2
553,3,1,13,9,3
554,2,2,12,10,4
555,2,5,19,5,7
556,0,4,7,13,2
557,0,2,6,5,0
558,1,4,35,43,2
559,3,7,29,23,11
560,2,6,12,25,2
561,4,4,27,9,19
562,1,2,5,6,0
563,0,1,3,0,0
564,6,9,47,36,24
565,2,5,9,5,5
566,2,2,9,7,2
567,6,3,36,4,32
568,3,3,19,12,5
569,11,9,73,57,28
570,2,4,18,40,0
571,7,3,46,5,37
572,1,2,2,4,0
573,2,3,8,8,0
574,5,4,41,27,16
575,6,5,40,29,10
576,2,2,18,16,5
577,1,2,6,6,1
578,6,2,48,12,32
579,6,3,99,43,34
580,3,2,12,8,3
581,1,2,2,6,0
582,1,2,5,12,0
583,3,3,16,2,10
584,4,3,22,11,12
585,1,1,8,4,2
586,4,5,19,11,6
587,7,5,60,11,40
588,0,4,2,4,0
589,1,1,8,2,4
590,2,5,7,3,2
591,9,5,33,25,11
592,3,3,20,9,13
593,5,3,30,11,13
594,0,2,6,8,1
595,1,2,11,6,3
596,9,4,88,13,64
597,1,3,2,5,0
598,2,4,12,2,3
599,1,2,5,15,0
600,6,4,31,4,20
601,4,4,26,15,9
602,6,3,43,10,24
603,0,3,2,4,0
604,2,4,12,9,4
605,4,4,26,6,20
606,5,3,30,10,16
607,2,3,11,15,3
608,4,4,17,14,4
609,2,3,12,11,4
610,0,6,2,2,0
611,1,1,2,4,0
612,4,6,45,53,6
613,1,3,4,4,0
614,1,2,5,5,1
615,1,4,6,1,4
616,4,3,51,31,0
617,4,10,46,34,18
618,4,3,45,20,18
619,3,3,41,16,21
620,1,1,3,6,1
621,3,2,11,7,5
622,2,3,19,7,9
623,2,2,11,4,4
624,1,2,6,10,1
625,7,4,54,7,38
626,1,3,7,5,3
627,3,5,22,41,3
628,4,7,48,72,25
629,4,5,35,23,16
630,1,5,17,44,0
631,0,2,3,6,0
632,1,3,6,8,1
633,9,10,149,162,41
634,5,3,28,11,10
635,4,1,20,8,11
636,1,5,31,5,12
637,3,2,18,3,14
638,2,4,17,11,5
639,3,1,17,4,15
640,4,5,37,5,29
641,3,4,14,4,11
642,2,2,6,4,1
643,1,3,17,11,0
644,2,4,21,13,7
645,8,6,59,13,25
646,1,2,4,4,0
647,2,3,12,11,2
648,2,3,9,5,5
649,1,5,22,19,4
650,3,4,17,8,8
651,6,10,46,23,25
652,6,4,37,2,33
653,2,3,6,10,0
654,2,0,12,7,1
655,1,3,13,8,5
656,8,4,45,11,28
657,1,3,4,8,2
658,6,4,57,31,21
659,2,4,7,29,0
660,3,3,20,8,6
661,0,4,6,5,2
662,1,4,6,8,3
663,5,4,55,7,33
664,1,4,11,12,3
665,1,2,8,5,3
666,2,2,8,6,4
667,2,3,9,14,0
668,2,2,7,4,1
669,2,3,20,13,0
670,0,3,1,5,0
671,1,4,4,2,2
672,1,4,8,11,2
673,11,6,114,12,76
674,6,6,43,27,15
675,1,7,20,41,3
676,4,3,53,19,22
677,2,2,4,6,2
678,3,5,25,12,10
679,1,3,9,4,3
680,3,5,37,15,23
681,1,2,8,4,4
682,2,4,15,10,1
683,5,3,28,4,20
684,0,2,7,3,4
685,2,3,13,6,3
686,1,2,7,7,0
687,3,6,57,39,13
688,2,2,6,2,3
689,2,2,12,9,1
690,1,2,3,7,0
691,1,2,5,7,0
692,13,6,104,32,61
693,2,6,16,13,7
694,4,5,44,18,16
695,1,2,5,4,0
696,2,2,12,16,0
697,3,5,45,21,14
698,5,8,49,15,18
699,0,3,5,7,1
700,0,2,5,4,2
701,3,2,33,20,10
702,2,3,13,9,6
703,2,6,88,62,7
704,8,11,75,31,26
705,0,3,1,2,0
706,1,3,18,8,0
707,3,1,11,7,4
708,5,4,50,15,27
709,3,2,16,0,10
710,3,3,26,18,1
711,5,7,40,48,8
712,2,4,28,19,0
713,4,4,45,9,29
714,3,4,27,1,22
715,3,2,20,7,11
716,1,2,3,2,2
717,1,3,6,9,1
718,5,4,37,16,4
719,8,5,65,31,35
720,4,6,58,90,13
721,4,4,43,33,5
722,1,0,10,5,4
723,1,5,5,8,2
724,1,3,10,19,1
725,1,7,48,105,2
726,0,1,2,2,0
727,4,3,22,5,16
728,6,4,48,19,18
729,6,6,26,26,3
730,1,2,8,3,4
731,1,4,18,5,11
732,2,5,10,15,1
733,1,5,36,49,4
734,0,2,3,5,0
735,4,6,52,4,31
736,0,3,4,2,1
737,1,3,9,9,1
738,1,5,23,51,1
739,0,2,2,1,0
740,2,2,20,7,10
741,1,8,24,30,0
742,4,3,19,17,4
743,3,2,17,10,9
744,7,7,44,14,28
745,1,3,6,13,1
746,0,4,4,13,0
747,6,7,120,88,30
748,2,3,4,10,0
749,1,4,14,6,7
750,3,2,23,6,10
751,11,5,82,25,55
752,1,1,2,4,0
753,3,2,17,12,3
754,3,4,23,8,14
755,4,6,111,53,29
756,4,3,13,17,1
757,2,3,24,15,10
758,6,3,48,4,34
759,3,4,16,14,4
760,1,3,2,7,0
761,12,6,83,25,51
762,1,3,5,11,0
763,0,2,4,2,2
764,0,4,4,6,0
765,1,2,2,2,1
766,7,5,39,28,10
767,1,3,2,5,1
768,4,4,38,13,16
769,1,2,4,2,2
770,2,5,13,18,4
771,2,5,12,12,3
772,5,3,52,5,37
773,4,3,24,5,15
774,2,6,31,32,7
775,1,2,3,5,0
776,1,2,2,4,0
777,2,4,26,28,4
778,3,3,37,28,8
779,2,1,4,5,2
780,1,4,6,5,0
781,8,6,37,30,9
782,2,8,16,10,2
783,19,6,142,7,115
784,2,3,13,12,1
785,3,2,13,14,1
786,6,4,47,24,13
787,0,3,5,4,2
788,9,3,51,8,35
789,6,2,25,7,16
790,3,5,23,6,15
791,0,1,1,4,0
792,1,3,7,7,2
793,3,2,17,12,10
794,1,3,9,4,1
795,3,2,29,5,21
796,1,3,18,13,2
797,0,5,6,16,0
798,0,4,4,2,0
799,2,5,42,51,8
800,6,3,48,11,31
801,2,3,9,8,4
802,6,6,67,35,25
803,2,4,10,22,0
804,0,1,3,2,0
805,3,4,36,22,11
806,3,2,19,10,6
807,7,6,48,24,19
808,1,1,3,4,0
809,1,4,5,4,2
810,11,5,87,10,58
811,0,2,2,5,0
812,0,0,4,1,0
813,3,3,26,9,15
814,4,3,23,10,10
815,1,1,3,2,1
816,5,4,32,12,18
817,3,2,23,35,0
818,8,3,48,15,28
819,3,5,99,21,34
820,2,3,12,7,2
821,3,5,18,20,7
822,9,8,65,11,37
823,1,3,7,13,0
824,0,2,3,10,0
825,1,2,7,6,4
826,0,1,2,1,1
827,7,12,90,71,23
828,2,3,9,4,3
829,2,3,27,8,16
830,4,2,18,10,8
831,5,3,35,5,27
832,2,2,7,6,4
833,1,7,80,56,7
834,5,1,39,11,23
835,1,4,7,11,0
836,1,5,4,13,0
837,5,5,51,4,32
838,3,2,16,11,5
839,1,4,11,4,6
840,3,3,7,6,2
841,3,4,27,28,5
842,2,3,10,11,0
843,0,1,0,4,0
844,2,2,12,8,3
845,2,3,13,10,1
846,1,2,5,5,0
847,1,3,9,8,3
848,2,2,19,8,7
849,11,5,93,10,65
850,1,5,25,54,0
851,2,3,10,4,6
852,2,2,7,10,0
853,6,4,68,11,38
854,3,7,19,15,6
855,5,3,26,8,17
856,8,4,42,13,24
857,0,1,4,3,0
858,1,2,5,5,1
859,1,1,7,4,2
860,8,12,67,42,20
861,3,2,15,7,7
862,4,5,43,26,16
863,2,3,16,4,9
864,0,1,3,3,2
865,2,3,10,3,6
866,1,2,1,10,0
867,0,2,4,6,0
868,1,2,10,3,8
869,2,3,11,6,3
870,5,7,48,20,19
871,4,5,40,21,12
872,0,1,1,6,0
873,3,7,46,48,8
874,1,3,8,8,1
875,5,4,22,8,14
876,3,4,28,12,9
877,4,4,40,3,28
878,3,5,11,3,7
879,2,4,15,4,11
880,5,3,33,9,21
881,4,2,12,8,4
882,1,5,17,18,6
883,0,2,0,0,0
884,4,4,49,24,20
885,1,3,6,4,1
886,14,12,212,52,96
887,3,5,45,50,6
888,5,3,22,4,17
889,9,4,65,11,45
890,1,3,12,9,1
891,4,4,48,27,7
892,1,3,6,5,0
893,1,2,4,11,0
894,2,1,6,21,0
895,0,2,8,3,0
896,4,4,17,15,3
897,0,3,3,1,0
898,1,2,8,3,3
899,7,4,55,9,43
900,3,5,16,18,2
901,4,8,33,36,12
902,6,3,44,2,30
903,1,4,17,46,5
904,2,3,9,10,0
905,1,2,4,7,0
906,5,4,41,7,25
907,2,3,9,4,3
908,3,3,18,9,9
909,2,2,7,7,2
910,1,3,5,0,2
911,5,5,55,3,34
912,3,4,19,8,10
913,4,5,24,29,7
914,5,9,96,66,16
915,0,2,1,3,0
916,2,5,19,18,4
917,0,3,2,1,1
918,1,2,2,5,0
919,2,2,12,3,6
920,1,2,4,3,0
921,1,2,13,10,4
922,1,1,2,2,0
923,7,7,93,56,18
924,5,7,47,36,16
925,3,3,19,6,9
926,11,5,70,5,61
927,3,3,15,10,7
928,3,4,22,4,15
929,0,1,6,5,2
930,22,5,152,15,112
931,4,3,32,16,19
932,2,2,7,4,1
933,10,7,145,158,40
934,1,1,6,3,0
935,0,1,1,2,0
936,4,2,29,9,17
937,2,2,19,5,14
938,1,3,5,8,1
939,1,2,6,10,0
940,2,3,16,13,7
941,4,8,15,40,3
942,0,7,25,81,4
943,1,1,5,2,4
944,1,3,5,9,0
945,0,4,14,37,1
946,1,2,5,3,0
947,3,2,17,8,9
948,3,14,41,330,8
949,3,4,28,6,15
950,1,2,3,5,0
951,2,4,15,11,7
952,3,4,17,18,5
953,1,2,1,9,0
954,1,3,6,6,0
955,3,2,12,8,2
956,1,1,2,3,1
957,1,1,8,2,5
958,7,8,110,121,32
959,3,4,17,20,4
960,1,2,4,2,0
961,8,7,62,55,30
962,2,3,4,18,0
963,3,7,31,32,13
964,1,2,5,4,0
965,1,2,13,2,5
966,1,8,8,10,0
967,2,4,16,8,0
968,0,1,1,11,0
969,3,4,28,3,20
970,5,4,24,10,11
971,1,1,1,5,0
972,1,4,8,19,0
973,2,4,19,18,5
974,2,4,16,22,4
975,1,3,9,2,6
976,1,4,16,11,5
977,2,2,11,5,5
978,1,3,8,13,1
979,0,2,2,3,1
980,2,4,25,19,8
981,2,3,16,5,8
982,0,2,11,5,3
983,1,2,5,13,0
984,7,5,58,11,32
985,1,2,6,15,0
986,3,4,20,5,13
987,10,6,158,129,52
988,1,2,8,19,2
989,5,4,48,5,30
990,1,5,14,11,0
991,2,2,30,7,13
992,4,6,19,32,9
993,3,4,25,11,5
994,2,5,30,38,7
995,0,2,3,2,1
996,8,10,109,79,39
997,2,1,10,2,6
998,6,6,26,27,6
999,1,4,6,4,2
1000,3,7,45,8,24
1001,1,4,8,3,6
1002,1,4,13,4,10
1003,3,5,17,10,10
1004,2,3,25,27,5
1005,2,2,12,5,8
1006,0,1,2,5,0
1007,3,2,15,2,13
1008,3,4,11,11,5
1009,1,2,8,12,1
1010,5,6,73,55,17
1011,0,7,18,85,0
1012,7,7,50,30,27
1013,10,7,68,11,48
1014,4,5,20,5,9
1015,0,1,1,6,0
1016,1,2,6,6,0
1017,0,1,3,2,1
1018,3,3,7,8,2
1019,1,2,7,2,4
1020,1,1,4,6,0
1021,1,1,1,5,0
1022,2,3,15,12,4
1023,8,6,54,3,39
1024,0,1,3,5,0
1025,4,3,28,3,20
1026,1,6,7,5,1
1027,12,6,107,22,73
1028,1,2,23,9,8
1029,3,3,20,5,12
1030,1,3,14,18,5
1031,1,1,7,8,0
1032,3,2,9,6,6
1033,2,2,9,8,2
1034,2,3,13,10,2
1035,3,2,19,6,14
1036,4,3,45,17,20
1037,1,5,7,7,3
1038,1,5,13,15,1
1039,2,2,7,2,5
1040,3,2,18,11,8
1041,3,4,13,14,3
1042,4,4,28,8,19
1043,2,3,25,44,5
1044,2,3,9,5,3
1045,2,3,4,7,0
1046,3,6,19,26,7
1047,5,9,76,115,17
1048,8,4,33,12,20
1049,1,2,3,2,0
1050,1,8,75,242,0
1051,1,4,9,3,6
1052,2,2,12,4,4
1053,2,4,8,11,1
1054,2,2,16,13,3
1055,3,2,12,8,1
1056,7,2,53,4,39
1057,2,6,29,43,1
1058,7,5,26,18,6
1059,1,2,9,6,3
1060,2,12,49,161,3
1061,5,4,61,12,26
1062,3,6,32,5,15
1063,2,3,9,4,5
1064,0,1,1,1,0
1065,5,4,14,19,1
1066,4,3,17,4,13
1067,7,3,38,7,25
1068,4,3,15,6,9
1069,4,3,30,11,14
1070,1,1,4,8,0
1071,6,4,37,7,21
1072,1,3,7,4,1
1073,4,3,41,5,28
1074,3,2,11,6,5
1075,4,3,39,8,23
1076,2,4,9,5,6
1077,4,1,20,4,13
1078,2,2,24,8,12
1079,2,6,37,51,5
1080,2,4,39,33,11
1081,5,3,26,13,14
1082,3,4,26,4,24
1083,3,5,19,5,13
1084,1,6,8,36,0
1085,1,4,8,18,0
1086,2,5,12,24,0
1087,3,6,42,28,9
1088,4,2,17,16,5
1089,1,10,10,24,3
1090,5,9,29,40,4
1091,11,5,67,30,48
1092,1,4,13,17,1
1093,5,4,43,13,23
1094,3,3,19,9,1
1095,4,4,31,8,21
1096,1,2,15,5,1
1097,4,4,63,2,45
1098,2,4,10,6,4
1099,5,3,32,5,22
1100,1,2,7,4,2
1101,1,6,8,34,0
1102,4,4,22,25,7
1103,6,5,104,5,73
1104,5,4,34,9,19
1105,4,1,34,6,24
1106,1,3,11,13,3
1107,8,5,112,99,30
1108,3,2,37,14,10
1109,1,1,4,8,0
1110,4,11,25,52,10
1111,2,3,13,10,3
1112,1,2,8,4,0
1113,4,3,26,11,15
1114,1,1,8,5,0
1115,2,2,6,5,0
1116,1,1,6,5,4
1117,2,2,12,4,3
1118,3,6,59,38,3
1119,5,5,36,7,21
1120,6,4,48,6,30
1121,0,4,5,2,2
1122,6,11,105,60,44
1123,0,2,1,7,0
1124,1,2,9,4,3
1125,1,2,5,2,3
1126,2,5,18,15,7
1127,17,8,110,1,88
1128,2,2,19,2,10
1129,2,2,12,7,5
1130,7,3,38,11,22
1131,1,3,3,5,0
1132,4,5,49,26,12
1133,4,6,112,24,38
1134,2,6,36,36,4
1135,0,1,6,1,2
1136,6,3,69,4,45
1137,1,4,8,16,1
1138,5,4,37,3,31
1139,3,3,46,20,13
1140,0,7,3,20,0
1141,1,3,19,5,5
1142,0,1,4,2,2
1143,2,1,5,4,0
1144,1,3,100,29,10
1145,4,7,19,9,12
1146,2,6,48,47,4
1147,6,8,115,159,16
1148,2,3,13,15,2
